Nom du film,Annee,Score,Duree,Acteur,Genre,Description
Gone Girl,,8.1,2,Stars,Drama,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Before Sunrise,,8.1,1,Stars,Drama,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
12 Years a Slave,,8.1,2,Stars,Biography,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Harry Potter and the Deathly Hallows: Part 2,,8.1,2,Stars,Adventure,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Ben-Hur,,8.1,3,Writers,Adventure,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
On the Waterfront,,8.1,1,Stars,Crime,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
The Gold Rush,,8.2,1,Stars,Adventure,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
Blade Runner,,8.1,1,Stars,Action,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
Million Dollar Baby,,8.1,2,Stars,Drama,A determined woman works with a hardened boxing trainer to become a professional.
Catch Me If You Can,,8.1,2,Stars,Biography,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
Children of Heaven,,8.2,1,Stars,Drama,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
My Neighbor Totoro,,8.1,1,Stars,Animation,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Prisoners,,8.1,2,Stars,Crime,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Gran Torino,,8.1,1,Stars,Drama,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
Fargo,,8.1,1,Stars,Crime,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
"Three Billboards Outside Ebbing, Missouri",,8.1,1,Stars,Comedy,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Warrior,,8.2,2,Stars,Action,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Howl's Moving Castle,,8.2,1,Stars,Animation,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Dial M for Murder,,8.2,1,Stars,Crime,A former tennis star arranges the murder of his adulterous wife.
Trainspotting,,8.1,1,Stars,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
"Lock, Stock and Two Smoking Barrels",,8.2,1,Stars,Action,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
The Secret in Their Eyes,,8.2,2,Stars,Drama,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
Inside Out,,8.2,1,Writers,Animation,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
The Bridge on the River Kwai,,8.2,2,Stars,Adventure,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Gone with the Wind,,8.2,3,Writers,Drama,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
V for Vendetta,,8.2,2,Stars,Action,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
Raging Bull,,8.2,2,Writers,Biography,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Chinatown,,8.2,2,Stars,Drama,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
The Elephant Man,,8.2,2,Writers,Biography,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
The Thing,,8.2,1,Stars,Horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Finding Nemo,,8.2,1,Stars,Animation,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
No Country for Old Men,,8.2,2,Stars,Crime,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Rashomon,,8.2,1,Stars,Crime,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
The Great Escape,,8.2,2,Stars,Adventure,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
Kill Bill: Vol. 1,,8.2,1,Stars,Action,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Jurassic Park,,8.2,2,Stars,Action,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Spider-Man: No Way Home,,8.3,2,Writers,Action,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
The Treasure of the Sierra Madre,,8.2,2,Stars,Adventure,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Yojimbo,,8.2,1,Stars,Action,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Monty Python and the Holy Grail,,8.2,1,Writers,Adventure,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
The Truman Show,,8.2,1,Stars,Comedy,An insurance salesman discovers his whole life is actually a reality TV show.
Shutter Island,,8.2,2,Stars,Mystery,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
Unforgiven,,8.2,2,Stars,Drama,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
There Will Be Blood,,8.2,2,Stars,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Pan's Labyrinth,,8.2,1,Stars,Drama,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Casino,,8.2,2,Stars,Crime,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
The Sixth Sense,,8.2,1,Stars,Drama,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
Ran,,8.2,2,Writers,Action,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Judgment at Nuremberg,,8.3,2,Stars,Drama,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
All About Eve,,8.2,2,Stars,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
A Beautiful Mind,,8.2,2,Stars,Biography,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
The Wolf of Wall Street,,8.2,3,Stars,Biography,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Kid,,8.3,1,Stars,Comedy,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
The Father,,8.2,1,Stars,Drama,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
Green Book,,8.2,2,Stars,Biography,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Some Like It Hot,,8.2,2,Writers,Comedy,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Batman Begins,,8.2,2,Stars,Action,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
For a Few Dollars More,,8.2,2,Writers,Western,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
Dangal,,8.3,2,Writers,Action,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Downfall,,8.2,2,Writers,Biography,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
1917,,8.2,1,Stars,Action,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Indiana Jones and the Last Crusade,,8.2,2,Writers,Action,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
Like Stars on Earth,,8.4,2,Stars,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Snatch,,8.2,1,Stars,Comedy,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Bicycle Thieves,,8.3,1,Writers,Drama,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
L.A. Confidential,,8.2,2,Stars,Crime,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Die Hard,,8.2,2,Stars,Action,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
A Separation,,8.3,2,Stars,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Metropolis,,8.3,2,Stars,Drama,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
Taxi Driver,,8.2,1,Stars,Crime,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Incendies,,8.3,2,Stars,Drama,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Heat,,8.3,2,Stars,Action,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
The Sting,,8.3,2,Stars,Comedy,Two grifters team up to pull off the ultimate con.
Scarface,,8.3,2,Writers,Crime,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Up,,8.3,1,Stars,Animation,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Hamilton,,8.4,2,Stars,Biography,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
To Kill a Mockingbird,,8.3,2,Stars,Crime,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice."
Double Indemnity,,8.3,1,Stars,Crime,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Full Metal Jacket,,8.3,1,Stars,Drama,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
The Apartment,,8.3,2,Stars,Comedy,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
A Clockwork Orange,,8.3,2,Stars,Crime,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
Amélie,,8.3,2,Stars,Comedy,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Ikiru,,8.3,2,Stars,Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Vertigo,,8.3,2,Writers,Mystery,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
North by Northwest,,8.3,2,Stars,Action,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Lawrence of Arabia,,8.3,3,Stars,Adventure,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
M,,8.3,1,Stars,Crime,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Citizen Kane,,8.3,1,Writers,Drama,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Come and See,,8.4,2,Stars,Drama,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Reservoir Dogs,,8.3,1,Stars,Crime,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
The Hunt,,8.3,1,Stars,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Capernaum,,8.4,2,Writers,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Eternal Sunshine of the Spotless Mind,,8.3,1,Stars,Drama,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
High and Low,,8.4,2,Writers,Crime,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
2001: A Space Odyssey,,8.3,2,Stars,Adventure,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
Star Wars: Episode VI - Return of the Jedi,,8.3,2,Stars,Action,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Singin' in the Rain,,8.3,1,Stars,Comedy,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Toy Story 3,,8.3,1,Writers,Animation,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
